country,population,death_rate,dr_per_day,death_rate_pop
Djibouti,958920.0,7.2929999999999975,1.9980821917808216e-05,19.160009753424653
Dominica,71625.0,8.2,2.2465753424657528e-05,1.6091095890410956
Dominican Republic,10627165.0,6.12,1.6767123287671234e-05,178.18698575342464
Ecuador,17084357.0,5.101,1.3975342465753424e-05,238.75973988219172
Egypt,98423595.0,5.8629999999999995,1.606301369863014e-05,1580.979554753425
El Salvador,6420744.0,7.011,1.920821917808219e-05,123.33105803835615
Equatorial Guinea,1308974.0,9.542,2.6142465753424656e-05,34.21980796712329
Eritrea,3213972.0,7.3260000000000005,2.0071232876712327e-05,64.50838047123287
Estonia,1320884.0,11.8,3.2328767123287676e-05,42.70255123287672
Eswatini,1136191.0,9.843,2.696712328767123e-05,30.639802775342464
Ethiopia,109224559.0,6.691,1.833150684931507e-05,2002.2507514219174
Faroe Islands,48497.0,8.9,2.4383561643835613e-05,1.1825295890410958
Fiji,883483.0,8.18,2.241095890410959e-05,19.79970120547945
Finland,5518050.0,9.8,2.6849315068493156e-05,148.15586301369862
France,66987244.0,9.0,2.4657534246575345e-05,1651.7402630136985
French Polynesia,277679.0,5.566,1.5249315068493148e-05,4.23441455890411
Gabon,2119275.0,6.9979999999999976,1.9172602739726018e-05,40.632017671232866
Gambia,2280102.0,8.044,2.2038356164383567e-05,50.24969996712329
Georgia,3731000.0,12.918,3.5391780821917805e-05,132.04673424657534
Germany,82927922.0,11.3,3.0958904109589045e-05,2567.35758520548
Ghana,29767108.0,7.414,2.0312328767123292e-05,604.6392841424657
Greece,10727668.0,11.6,3.178082191780822e-05,340.93410630136987
Greenland,56025.0,8.9,2.4383561643835613e-05,1.3660890410958904
Grenada,111454.0,9.562999999999999,2.6200000000000007e-05,2.9200947999999998
Guam,165768.0,5.166,1.4153424657534246e-05,2.346184898630137
Guatemala,17247807.0,4.762,1.3046575342465752e-05,225.02481351780818
Guinea,12414318.0,8.715,2.387671232876712e-05,296.41309964383566
Guinea-Bissau,1874309.0,9.805,2.686301369863013e-05,50.34958834246575
Guyana,779004.0,7.365,2.0178082191780826e-05,15.718806739726029
Haiti,11123176.0,8.638,2.366575342465753e-05,263.2383405150685
Honduras,9587522.0,4.428,1.2131506849315068e-05,116.31108881095888
Hungary,9768785.0,13.5,3.698630136986301e-05,361.31122602739725
Iceland,353574.0,6.5,1.780821917808219e-05,6.296523287671232
India,1352617328.0,7.21,1.9753424657534247e-05,26718.824479123286
Indonesia,267663435.0,6.433,1.7624657534246573e-05,4717.476376315068
Iran,81800269.0,4.835,1.3246575342465756e-05,1083.5734263424658
Iraq,38433600.0,4.8260000000000005,1.322191780821918e-05,508.1659002739727
Ireland,4853506.0,6.3,1.726027397260274e-05,83.77284328767124
Isle of Man,84077.0,9.8,2.6849315068493156e-05,2.2574098630136987
Israel,8883800.0,5.1,1.3972602739726029e-05,124.12980821917809
Italy,60431283.0,10.7,2.931506849315068e-05,1771.5472002739725
Jamaica,2934855.0,7.558,2.070684931506849e-05,60.771600246575346
Japan,126529100.0,10.8,2.958904109589041e-05,3743.8747397260277
Jordan,9956011.0,3.843,1.0528767123287673e-05,104.8245212958904
Kazakhstan,18276499.0,7.15,1.958904109589041e-05,358.01909
Kenya,51393010.0,5.5820000000000025,1.529315068493151e-05,785.961046082192
Kiribati,115847.0,6.396,1.7523287671232875e-05,2.030020306849315
"Korea, North",25549819.0,8.97,2.4575342465753422e-05,627.8955518630138
"Korea, South",51635256.0,5.6,1.5342465753424658e-05,792.2121468493152
Kosovo,1845300.0,7.0,1.9178082191780825e-05,35.38931506849315
Kuwait,4137309.0,2.6010000000000004,7.126027397260276e-06,29.482577284931512
Kyrgyzstan,6315800.0,5.4,1.4794520547945209e-05,93.43923287671234
Laos,7061507.0,6.507999999999999,1.7830136986301368e-05,125.907637139726
